case_id,corner,temp_k,vdd,spice_snm_mv,native_snm_mv,delta_snm_mv,spice_noise,native_noise,delta_noise,spice_ber_raw,native_ber_raw,spice_ber,native_ber,delta_ber,spice_hold_snm_mv,native_hold_snm_mv,delta_hold_snm_mv,spice_read_snm_mv,native_read_snm_mv,delta_read_snm_mv,spice_write_margin_mv,native_write_margin_mv,delta_write_margin_mv,spice_noise_sigma,native_noise_sigma,delta_noise_sigma,spice_read_fail,spice_read_fail_raw,native_read_fail,delta_read_fail,spice_write_fail,spice_write_fail_raw,native_write_fail,delta_write_fail,native_backend_label,native_engine,data_source,spice_source,simulator,spice_runtime_ms,native_runtime_ms,spice_mc_runs,spice_mc_mode,spice_mc_mode_effective,spice_mc_seed,measure_contract_revision,pdk_id,pdk_class,model_revision,macro_mode,pdk_license,ber_contract_mode,snm_noise_contract_mode,spice_snm_mv_raw,spice_hold_snm_mv_raw,spice_read_snm_mv_raw,spice_write_margin_mv_raw,spice_noise_raw,spice_noise_sigma_raw,spice_snm_mv_contract,spice_hold_snm_mv_contract,spice_read_snm_mv_contract,spice_write_margin_mv_contract,spice_noise_contract,spice_noise_sigma_contract,spice_read_fail_contract,spice_write_fail_contract,snm_mv_contract_requested_raw_key,snm_mv_contract_source_raw_key,snm_mv_contract_fallback_used,snm_mv_contract_fit_status,snm_mv_contract_reason,hold_snm_mv_contract_requested_raw_key,hold_snm_mv_contract_source_raw_key,hold_snm_mv_contract_fallback_used,hold_snm_mv_contract_fit_status,hold_snm_mv_contract_reason,read_snm_mv_contract_requested_raw_key,read_snm_mv_contract_source_raw_key,read_snm_mv_contract_fallback_used,read_snm_mv_contract_fit_status,read_snm_mv_contract_reason,write_margin_mv_contract_requested_raw_key,write_margin_mv_contract_source_raw_key,write_margin_mv_contract_fallback_used,write_margin_mv_contract_fit_status,write_margin_mv_contract_reason,noise_contract_requested_raw_key,noise_contract_source_raw_key,noise_contract_fallback_used,noise_contract_fit_status,noise_contract_reason,noise_sigma_contract_requested_raw_key,noise_sigma_contract_source_raw_key,noise_sigma_contract_fallback_used,noise_sigma_contract_fit_status,noise_sigma_contract_reason,spice_ber_contract,native_ber_contract,delta_ber_contract,ber_contract_center_mv,ber_contract_slope_mv,ber_contract_fit_samples
tt_t233_v0p63,tt,233.15,0.63,181.0272650372608,174.1893397727847,-6.837925264476098,0.07750535784469692,0.07713101531264063,-0.00037434253205628765,0.9999938,0.45763671875,0.45126032181401904,0.45965809767898796,0.008397775864968926,181.0272650372608,174.1893397727847,-6.837925264476098,166.70582953553986,164.93361793526782,-1.772211600272044,553.0811097315574,552.8689846873593,-0.21212504419804645,0.07750535784469692,0.07713101531264063,-0.00037434253205628765,4.6175603241918134e-07,0.9998857,5.762623459799573e-07,1.1450631356077594e-07,0.0,0.06022672,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,282.7569000000949,2742.041199999221,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.06283057,0.06283057,-22.61033,71.98018,0.478862,0.478862,181.0272650372608,181.0272650372608,166.70582953553986,553.0811097315574,0.07750535784469692,0.07750535784469692,4.6175603241918134e-07,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.45126032181401904,0.45965809767898796,0.008397775864968926,141.53124907925667,201.94325666727005,27
tt_t233_v0p70,tt,233.15,0.7,181.38510575600384,181.13962216992525,-0.245483586078592,0.07019085963211869,0.07126135497345293,0.0010704953413342433,0.9999929,0.446796875,0.45082157265758127,0.45112255233480525,0.0003009796772239781,181.38510575600384,181.13962216992525,-0.245483586078592,170.22803954860194,172.5882595731109,2.3602200245089477,628.3174347880046,628.738645026547,0.4212102385424714,0.07019085963211869,0.07126135497345293,0.0010704953413342433,2.9730560893298213e-07,0.9999114,2.213473459811634e-07,-7.595826295181873e-08,0.0,0.006678394,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,187.27020000005723,19.816799998807255,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,1.438305,1.438305,-24.64953,90.01742,0.4729702,0.4729702,181.38510575600384,181.38510575600384,170.22803954860194,628.3174347880046,0.07019085963211869,0.07019085963211869,2.9730560893298213e-07,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.45082157265758127,0.45112255233480525,0.0003009796772239781,141.53124907925667,201.94325666727005,27
tt_t233_v0p77,tt,233.15,0.77,181.0396664141593,188.123075264714,7.08340885055469,0.0662576315461193,0.06556147873684111,-0.0006961528092781916,0.9999938,0.43912109375,0.4512451151915513,0.4425751500873232,-0.008669965104228128,181.0396664141593,188.123075264714,7.08340885055469,180.84370624052988,180.25569781629306,-0.5880084242368184,704.6476064575035,704.4385212631589,-0.20908519434453865,0.0662576315461193,0.06556147873684111,-0.0006961528092781916,7.887012229592872e-08,0.9999589,8.488551998687097e-08,6.015397690942247e-09,0.0,0.0006821243,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,164.39589999936288,19.756900001084432,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.1104992,0.1104992,-30.79552,108.3169,0.469802,0.469802,181.0396664141593,181.0396664141593,180.84370624052988,704.6476064575035,0.0662576315461193,0.0662576315461193,7.887012229592872e-08,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4512451151915513,0.4425751500873232,-0.008669965104228128,141.53124907925667,201.94325666727005,27
tt_t298_v0p63,tt,298.15,0.63,170.165745472891,163.29364461007415,-6.872100862816836,0.12421983238745626,0.12371769552227006,-0.0005021368651862007,0.9999938,0.47265625,0.46461058341866485,0.4730848169136606,0.008474233494995764,170.165745472891,163.29364461007415,-6.872100862816836,150.23029905133902,148.44752114740174,-1.7827779039372729,506.3219606179108,506.28230447772995,-0.03965614018085262,0.12421983238745626,0.12371769552227006,-0.0005021368651862007,3.6208889270503007e-06,0.9998857,4.5247661206082715e-06,9.038771935579708e-07,1.689414885877546e-25,0.06022672,1.69781013557905e-25,8.395249701503985e-28,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,174.41630000030273,17.88680000026943,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.06283057,0.06283057,-22.61033,71.98018,0.478862,0.478862,170.165745472891,170.165745472891,150.23029905133902,506.3219606179108,0.12421983238745626,0.12421983238745626,3.6208889270503007e-06,1.689414885877546e-25,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.46461058341866485,0.4730848169136606,0.008474233494995764,141.53124907925667,201.94325666727005,27
tt_t298_v0p70,tt,298.15,0.7,170.58318340091984,170.3364729005196,-0.24671050040024056,0.1167613896463755,0.11819733434637228,0.0014359446999967773,0.9999929,0.4660546875,0.4640964338129545,0.46440029284675133,0.0003038590337968161,170.58318340091984,170.3364729005196,-0.24671050040024056,153.77850061910274,156.15279277895493,2.374292159852189,581.7239216640702,581.8026656536277,0.07874398955755169,0.1167613896463755,0.11819733434637228,0.0014359446999967773,2.323781130880971e-06,0.9999114,1.727041335181945e-06,-5.96739795699026e-07,0.0,0.006678394,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,186.2836000000243,23.26060000268626,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,1.438305,1.438305,-24.64953,90.01742,0.4729702,0.4729702,170.58318340091984,170.58318340091984,153.77850061910274,581.7239216640702,0.1167613896463755,0.1167613896463755,2.323781130880971e-06,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4640964338129545,0.46440029284675133,0.0003038590337968161,141.53124907925667,201.94325666727005,27
tt_t298_v0p77,tt,298.15,0.77,170.18021225882694,177.29902362204396,7.11881136321702,0.1127507582107714,0.11181695037596066,-0.0009338078348107431,0.9999938,0.464140625,0.46459276371495395,0.4558359086503722,-0.008756855064581737,170.18021225882694,177.29902362204396,7.11881136321702,164.47250383284353,163.88098957692867,-0.5915142559148592,658.2221374734164,658.1830496240394,-0.039087849376983286,0.1127507582107714,0.11181695037596066,-0.0009338078348107431,6.104535755823738e-07,0.9999589,6.573006226342654e-07,4.684704705189168e-08,0.0,0.0006821243,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,144.2630999990797,20.35760000217124,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.1104992,0.1104992,-30.79552,108.3169,0.469802,0.469802,170.18021225882694,170.18021225882694,164.47250383284353,658.2221374734164,0.1127507582107714,0.1127507582107714,6.104535755823738e-07,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.46459276371495395,0.4558359086503722,-0.008756855064581737,141.53124907925667,201.94325666727005,27
tt_t358_v0p63,tt,358.15,0.63,160.16578189296996,153.2975101221234,-6.8682717708465475,0.163174648564252,0.16280558563290573,-0.0003690629313462812,0.9999938,0.4819921875,0.47694733435338277,0.4854378234010796,0.008490489047696836,160.16578189296996,153.2975101221234,-6.8682717708465475,135.4933845573684,133.76083984617472,-1.7325447111936683,467.28535581497295,467.1944143670943,-0.09094144787866298,0.163174648564252,0.16280558563290573,-0.0003690629313462812,2.2846881731854557e-05,0.9998857,2.837127545007154e-05,5.524393718216985e-06,2.2228444554838573e-23,0.06022672,2.248257210517526e-23,2.5412755033668763e-25,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,142.73709999906714,24.594800001068506,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.06283057,0.06283057,-22.61033,71.98018,0.478862,0.478862,160.16578189296996,160.16578189296996,135.4933845573684,467.28535581497295,0.163174648564252,0.163174648564252,2.2846881731854557e-05,2.2228444554838573e-23,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.47694733435338277,0.4854378234010796,0.008490489047696836,141.53124907925667,201.94325666727005,27
tt_t358_v0p70,tt,358.15,0.7,160.5414126649711,160.2948396301313,-0.2465730348397983,0.1574808056220776,0.15853620305846725,0.0010553974363896323,0.9999929,0.47552734375,0.4764833226810606,0.4767879065277181,0.0003045838466574913,160.5414126649711,160.2948396301313,-0.2465730348397983,138.96310334665975,141.2704952631152,2.307391916455458,541.2832172787244,541.4637969415327,0.18057966280832716,0.1574808056220776,0.15853620305846725,0.0010553974363896323,1.480711535409029e-05,0.9999114,1.1097141502670521e-05,-3.7099738514197694e-06,0.0,0.006678394,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,147.71760000076029,16.19589999972959,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,1.438305,1.438305,-24.64953,90.01742,0.4729702,0.4729702,160.5414126649711,160.5414126649711,138.96310334665975,541.2832172787244,0.1574808056220776,0.1574808056220776,1.480711535409029e-05,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4764833226810606,0.4767879065277181,0.0003045838466574913,141.53124907925667,201.94325666727005,27
tt_t358_v0p77,tt,358.15,0.77,160.17879980438772,167.29364461007415,7.114844805686431,0.15441905315094878,0.15373271864590532,-0.0006863345050434622,0.9999938,0.4731640625,0.47693125283111665,0.4681500721325048,-0.008781180698611835,160.17879980438772,167.29364461007415,7.114844805686431,149.42056557782732,148.8457183725655,-0.5748472052618183,616.3569195690244,616.2672813540947,-0.08963821492966417,0.15441905315094878,0.15373271864590532,-0.0006863345050434622,4.00657136409497e-06,0.9999589,4.3050616413383504e-06,2.984902772433805e-07,0.0,0.0006821243,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,148.53490000314196,20.187199999782024,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.1104992,0.1104992,-30.79552,108.3169,0.469802,0.469802,160.17879980438772,160.17879980438772,149.42056557782732,616.3569195690244,0.15441905315094878,0.15441905315094878,4.00657136409497e-06,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.47693125283111665,0.4681500721325048,-0.008781180698611835,141.53124907925667,201.94325666727005,27
ff_t233_v0p63,ff,233.15,0.63,173.96852485927658,174.1893397727847,0.22081491350812144,0.07410720983737859,0.07713101531264063,0.0030238054752620425,0.9999938,0.45763671875,0.4599296926496057,0.45965809767898796,-0.00027159497061773896,173.96852485927658,174.1893397727847,0.22081491350812144,172.689658302846,164.93361793526782,-7.75604036757818,588.7191216342572,552.8689846873593,-35.85013694689792,0.07410720983737859,0.07713101531264063,0.0030238054752620425,2.185595091472917e-07,0.9998941,5.762623459799573e-07,3.5770283683266557e-07,0.0,0.04456874,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,xyce,149.62029999878723,16.44309999755933,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,asap7,predictive,asap7-openroad-local-xyce-l107,6t-cell,BSD-3-Clause,native_fit,affine_corner_temp,0.06519007,0.06519007,-23.2253,74.52104,0.4778253,0.4778253,173.96852485927658,173.96852485927658,172.689658302846,588.7191216342572,0.07410720983737859,0.07410720983737859,2.185595091472917e-07,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4599296926496057,0.45965809767898796,-0.00027159497061773896,141.53124907925667,201.94325666727005,27
