case_id,corner,temp_k,vdd,spice_snm_mv,native_snm_mv,delta_snm_mv,spice_noise,native_noise,delta_noise,spice_ber_raw,native_ber_raw,spice_ber,native_ber,delta_ber,spice_hold_snm_mv,native_hold_snm_mv,delta_hold_snm_mv,spice_read_snm_mv,native_read_snm_mv,delta_read_snm_mv,spice_write_margin_mv,native_write_margin_mv,delta_write_margin_mv,spice_noise_sigma,native_noise_sigma,delta_noise_sigma,spice_read_fail,spice_read_fail_raw,native_read_fail,delta_read_fail,spice_write_fail,spice_write_fail_raw,native_write_fail,delta_write_fail,native_backend_label,native_engine,data_source,spice_source,simulator,spice_runtime_ms,native_runtime_ms,spice_mc_runs,spice_mc_mode,spice_mc_mode_effective,spice_mc_seed,measure_contract_revision,pdk_id,pdk_class,model_revision,macro_mode,pdk_license,ber_contract_mode,snm_noise_contract_mode,spice_snm_mv_raw,spice_hold_snm_mv_raw,spice_read_snm_mv_raw,spice_write_margin_mv_raw,spice_noise_raw,spice_noise_sigma_raw,spice_snm_mv_contract,spice_hold_snm_mv_contract,spice_read_snm_mv_contract,spice_write_margin_mv_contract,spice_noise_contract,spice_noise_sigma_contract,spice_read_fail_contract,spice_write_fail_contract,snm_mv_contract_requested_raw_key,snm_mv_contract_source_raw_key,snm_mv_contract_fallback_used,snm_mv_contract_fit_status,snm_mv_contract_reason,hold_snm_mv_contract_requested_raw_key,hold_snm_mv_contract_source_raw_key,hold_snm_mv_contract_fallback_used,hold_snm_mv_contract_fit_status,hold_snm_mv_contract_reason,read_snm_mv_contract_requested_raw_key,read_snm_mv_contract_source_raw_key,read_snm_mv_contract_fallback_used,read_snm_mv_contract_fit_status,read_snm_mv_contract_reason,write_margin_mv_contract_requested_raw_key,write_margin_mv_contract_source_raw_key,write_margin_mv_contract_fallback_used,write_margin_mv_contract_fit_status,write_margin_mv_contract_reason,noise_contract_requested_raw_key,noise_contract_source_raw_key,noise_contract_fallback_used,noise_contract_fit_status,noise_contract_reason,noise_sigma_contract_requested_raw_key,noise_sigma_contract_source_raw_key,noise_sigma_contract_fallback_used,noise_sigma_contract_fit_status,noise_sigma_contract_reason,spice_ber_contract,native_ber_contract,delta_ber_contract,ber_contract_center_mv,ber_contract_slope_mv,ber_contract_fit_samples
tt_t233_v1p60,tt,233.15,1.6,271.1354843681318,271.1348139718743,-0.000670396257532957,0.03872404029319926,0.038670895372288405,-5.3144920910852544e-05,0.999994,0.4004296875,0.40641053658909565,0.4064106989096033,1.6232050764619643e-07,271.1354843681318,271.1348139718743,-0.000670396257532957,266.4960934926707,266.4943065271997,-0.001786965471012536,1560.549882907917,1561.3291046277116,0.7792217197945774,0.03872404029319926,0.038670895372288405,-5.3144920910852544e-05,1.7665163252309053e-12,1.0,1.7669109572635232e-12,3.9463203261788175e-16,0.0,2.70738e-06,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2108.6001000003307,2780.492599998979,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,9.4369e-13,9.4369e-13,-673.312,152.556,0.873146,0.873146,271.1354843681318,271.1354843681318,266.4960934926707,1560.549882907917,0.03872404029319926,0.03872404029319926,1.7665163252309053e-12,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40641053658909565,0.4064106989096033,1.6232050764619643e-07,-106.3036956778502,996.3441114549639,45
tt_t233_v1p80,tt,233.15,1.8,291.1387616948689,291.1403249557242,0.0015632608553346472,0.03601504096849495,0.03615842207021109,0.00014338110171614044,0.999994,0.4016796875,0.4015764645138479,0.4015760874638478,-3.7705000005550104e-07,291.1387616948689,291.1403249557242,0.0015632608553346472,286.79714737894705,286.80131430729887,0.004166928351821753,1765.6943390658964,1763.8415779297889,-1.8527611361075742,0.03601504096849495,0.03615842207021109,0.00014338110171614044,1.3964911743587308e-13,1.0,1.3957639789274375e-13,-7.27195431293349e-17,0.0,1.22815e-07,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2447.173799999291,12.363999998342479,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,0.0,0.0,-747.637,177.301,0.866103,0.866103,291.1387616948689,291.1387616948689,286.79714737894705,1765.6943390658964,0.03601504096849495,0.03601504096849495,1.3964911743587308e-13,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4015764645138479,0.4015760874638478,-3.7705000005550104e-07,-106.3036956778502,996.3441114549639,45
tt_t233_v1p95,tt,233.15,1.95,306.1579731916182,306.15708032702037,-0.0008928645978585337,0.03441956614258651,0.03432932996178116,-9.023618080535034e-05,0.999994,0.3994140625,0.39795934707778174,0.3979595617821164,2.147043346445443e-07,306.1579731916182,306.15708032702037,-0.0008928645978585337,302.0399406944874,302.0375607316066,-0.0023799628808092166,1914.5971306219067,1915.670670038219,1.0735394163123146,0.03441956614258651,0.03432932996178116,-9.023618080535034e-05,2.0775695296001904e-14,1.0,2.078187688840728e-14,6.181592405375092e-18,0.0,1.3007e-08,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2670.3531999992265,11.46119999975781,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,3.55271e-12,3.55271e-12,-803.443,195.262,0.861955,0.861955,306.1579731916182,306.1579731916182,302.0399406944874,1914.5971306219067,0.03441956614258651,0.03441956614258651,2.0775695296001904e-14,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.39795934707778174,0.3979595617821164,2.147043346445443e-07,-106.3036956778502,996.3441114549639,45
tt_t298_v1p60,tt,298.15,1.6,260.3688408497196,260.2913502028965,-0.07749064682309381,0.05361570141505412,0.05353256204465266,-8.313937040145547e-05,0.999994,0.40802734375,0.40902003676060644,0.4090388368684512,1.880010784477415e-05,260.3688408497196,260.2913502028965,-0.07749064682309381,253.95349414587272,253.8674427575382,-0.08605138833451065,1546.0262648515047,1546.4674379553473,0.44117310384262964,0.05361570141505412,0.05353256204465266,-8.313937040145547e-05,8.472573907523497e-12,1.0,8.56420040422909e-12,9.162649670559335e-14,0.0,2.26253e-07,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2708.4867999983544,11.73459999699844,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,0.0,0.0,-657.729,172.413,0.857202,0.857202,260.3688408497196,260.3688408497196,253.95349414587272,1546.0262648515047,0.05361570141505412,0.05361570141505412,8.472573907523497e-12,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40902003676060644,0.4090388368684512,1.880010784477415e-05,-106.3036956778502,996.3441114549639,45
tt_t298_v1p80,tt,298.15,1.8,280.1212581173763,280.2988889422053,0.17763082482895243,0.0492385382528393,0.04947998807636279,0.00024144982352348326,0.999994,0.40287109375,0.4042366949348656,0.4041937599768206,-4.293495804497116e-05,280.1212581173763,280.2988889422053,0.17763082482895243,274.1640358692537,274.36129037304175,0.1972545037880309,1751.561466673515,1750.5200119236372,-1.0414547498778575,0.0492385382528393,0.04947998807636279,0.00024144982352348326,6.774067543007544e-13,1.0,6.609082981825608e-13,-1.6498456118193634e-14,0.0,6.13772e-09,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2678.7981999987096,12.99980000112555,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,3.71925e-12,3.71925e-12,-724.968,201.271,0.846851,0.846851,280.1212581173763,280.1212581173763,274.1640358692537,1751.561466673515,0.0492385382528393,0.0492385382528393,6.774067543007544e-13,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4042366949348656,0.4041937599768206,-4.293495804497116e-05,-106.3036956778502,996.3441114549639,45
tt_t298_v1p95,tt,298.15,1.95,295.40610802373203,295.30596784572623,-0.10014017800580177,0.04693979813596172,0.04678148768283977,-0.00015831045312195147,0.999994,0.400625,0.4005476389459365,0.40057177199481936,2.4133048882879482e-05,295.40610802373203,295.30596784572623,-0.10014017800580177,289.80339243923896,289.69218932378544,-0.11120311545352024,1902.6182306711246,1903.21851231716,0.6002816460354552,0.04693979813596172,0.04678148768283977,-0.00015831045312195147,9.590444584640544e-14,1.0,9.724686344038547e-14,1.3424175939800232e-15,0.0,4.33139e-10,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,3351.8777999997837,14.56030000190367,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,1.66533e-13,1.66533e-13,-776.999,222.48,0.841415,0.841415,295.40610802373203,295.40610802373203,289.80339243923896,1902.6182306711246,0.04693979813596172,0.04693979813596172,9.590444584640544e-14,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4005476389459365,0.40057177199481936,2.4133048882879482e-05,-106.3036956778502,996.3441114549639,45
tt_t373_v1p60,tt,373.15,1.6,266.40609408483255,247.7923183866994,-18.61377569813314,0.06953690926712824,0.07529209265444044,0.005755183387312193,0.999994,0.4144921875,0.4075561526641342,0.4120746892791104,0.0045185366149761985,266.40609408483255,247.7923183866994,-18.61377569813314,258.29094361984363,238.75726726816654,-19.533676351677087,1653.7086001296695,1524.7079073455595,-129.00069278411002,0.06953690926712824,0.07529209265444044,0.005755183387312193,4.926620043826691e-12,1.0,5.662002421453091e-11,5.169340417070422e-11,0.0,7.16876e-85,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,3348.300300000119,17.45640000081039,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,5.66214e-12,5.66214e-12,-677.546,1600.0,0.423467,0.423467,266.40609408483255,266.40609408483255,258.29094361984363,1653.7086001296695,0.06953690926712824,0.06953690926712824,4.926620043826691e-12,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4075561526641342,0.4120746892791104,0.0045185366149761985,-106.3036956778502,996.3441114549639,45
tt_t373_v1p80,tt,373.15,1.8,259.0522800167351,267.8020539533065,8.749773936571387,0.06490636536990688,0.06620873231694352,0.0013023669470366428,0.999994,0.410390625,0.40933948541529086,0.4072178994714952,-0.002121585943795634,259.0522800167351,267.8020539533065,8.749773936571387,250.6748146166933,259.85700607527326,9.18219145857995,1621.4271638212444,1733.7912676830565,112.36410386181205,0.06490636536990688,0.06620873231694352,0.0013023669470366428,1.2764517978902927e-11,1.0,4.050722889864522e-12,-8.713795089038404e-12,0.0,9.95594e-96,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,3329.415500000323,17.37660000071628,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,8.71525e-12,8.71525e-12,-1339.14,1800.0,0.743964,0.743964,259.0522800167351,259.0522800167351,250.6748146166933,1621.4271638212444,0.06490636536990688,0.06490636536990688,1.2764517978902927e-11,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40933948541529086,0.4072178994714952,-0.002121585943795634,-106.3036956778502,996.3441114549639,45
tt_t373_v1p95,tt,373.15,1.95,272.92922863233105,282.7932303938929,9.864001761561838,0.06868241060500858,0.06162486027065978,-0.007057550334348801,0.999994,0.4047265625,0.4059762973918249,0.40359101053408764,-0.0023852868577372566,272.92922863233105,282.7932303938929,9.864001761561838,265.04676226831657,275.39824716141374,10.351484893097165,1871.7385508070424,1888.3751397293402,16.636588922297733,0.06868241060500858,0.06162486027065978,-0.007057550334348801,2.1173722865061704e-12,1.0,5.805613612774971e-13,-1.5368109252286734e-12,0.0,1.53622e-11,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,3801.6534999987925,17.335000000457512,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,9.992e-12,9.992e-12,-90.685,249.193,0.48261,0.48261,272.92922863233105,272.92922863233105,265.04676226831657,1871.7385508070424,0.06868241060500858,0.06868241060500858,2.1173722865061704e-12,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4059762973918249,0.40359101053408764,-0.0023852868577372566,-106.3036956778502,996.3441114549639,45
ff_t233_v1p60,ff,233.15,1.6,271.57865696470105,271.1348139718743,-0.44384299282677375,0.03743772626729096,0.038670895372288405,0.0012331691049974475,0.999994,0.4004296875,0.4063032373613771,0.4064106989096033,0.00010746154822621756,271.57865696470105,271.1348139718743,-0.44384299282677375,266.9459698042793,266.4943065271997,-0.45166327707960363,1660.505904845758,1561.3291046277116,-99.17680021804654,0.03743772626729096,0.038670895372288405,0.0012331691049974475,1.6699186128019779e-12,1.0,1.7669109572635232e-12,9.699234446154528e-14,0.0,8.78258e-07,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,3271.92930000092,13.311500002600951,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,sky130,foundry-open,sky130-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,3.05311e-12,3.05311e-12,-672.177,161.563,0.869622,0.869622,271.57865696470105,271.57865696470105,266.9459698042793,1660.505904845758,0.03743772626729096,0.03743772626729096,1.6699186128019779e-12,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4063032373613771,0.4064106989096033,0.00010746154822621756,-106.3036956778502,996.3441114549639,45
