case_id,corner,temp_k,vdd,spice_snm_mv,native_snm_mv,delta_snm_mv,spice_noise,native_noise,delta_noise,spice_ber_raw,native_ber_raw,spice_ber,native_ber,delta_ber,spice_hold_snm_mv,native_hold_snm_mv,delta_hold_snm_mv,spice_read_snm_mv,native_read_snm_mv,delta_read_snm_mv,spice_write_margin_mv,native_write_margin_mv,delta_write_margin_mv,spice_noise_sigma,native_noise_sigma,delta_noise_sigma,spice_read_fail,spice_read_fail_raw,native_read_fail,delta_read_fail,spice_write_fail,spice_write_fail_raw,native_write_fail,delta_write_fail,native_backend_label,native_engine,data_source,spice_source,simulator,spice_runtime_ms,native_runtime_ms,spice_mc_runs,spice_mc_mode,spice_mc_mode_effective,spice_mc_seed,measure_contract_revision,pdk_id,pdk_class,model_revision,macro_mode,pdk_license,ber_contract_mode,snm_noise_contract_mode,spice_snm_mv_raw,spice_hold_snm_mv_raw,spice_read_snm_mv_raw,spice_write_margin_mv_raw,spice_noise_raw,spice_noise_sigma_raw,spice_snm_mv_contract,spice_hold_snm_mv_contract,spice_read_snm_mv_contract,spice_write_margin_mv_contract,spice_noise_contract,spice_noise_sigma_contract,spice_read_fail_contract,spice_write_fail_contract,snm_mv_contract_requested_raw_key,snm_mv_contract_source_raw_key,snm_mv_contract_fallback_used,snm_mv_contract_fit_status,snm_mv_contract_reason,hold_snm_mv_contract_requested_raw_key,hold_snm_mv_contract_source_raw_key,hold_snm_mv_contract_fallback_used,hold_snm_mv_contract_fit_status,hold_snm_mv_contract_reason,read_snm_mv_contract_requested_raw_key,read_snm_mv_contract_source_raw_key,read_snm_mv_contract_fallback_used,read_snm_mv_contract_fit_status,read_snm_mv_contract_reason,write_margin_mv_contract_requested_raw_key,write_margin_mv_contract_source_raw_key,write_margin_mv_contract_fallback_used,write_margin_mv_contract_fit_status,write_margin_mv_contract_reason,noise_contract_requested_raw_key,noise_contract_source_raw_key,noise_contract_fallback_used,noise_contract_fit_status,noise_contract_reason,noise_sigma_contract_requested_raw_key,noise_sigma_contract_source_raw_key,noise_sigma_contract_fallback_used,noise_sigma_contract_fit_status,noise_sigma_contract_reason,spice_ber_contract,native_ber_contract,delta_ber_contract,ber_contract_center_mv,ber_contract_slope_mv,ber_contract_fit_samples
tt_t233_v1p62,tt,233.15,1.62,285.68769163581226,273.1348139718743,-12.552877663937977,0.037313827180009355,0.03841258919728267,0.0010987620172733178,0.999981,0.4003125,0.403896076848585,0.4073219554315851,0.0034258785830001415,285.68769163581226,273.1348139718743,-12.552877663937977,279.6864615610067,268.52530326820033,-11.161158292806363,1694.642266860331,1581.5874108027174,-113.0548560576135,0.037313827180009355,0.03841258919728267,0.0010987620172733178,3.396680101290774e-13,1.0,1.3707502359062531e-12,1.0310822257771757e-12,0.0,5.88448e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2396.348599999328,3029.4936999998754,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,11.1121,11.1121,-1504.2,1620.0,0.935381,0.935381,285.68769163581226,285.68769163581226,279.6864615610067,1694.642266860331,0.037313827180009355,0.037313827180009355,3.396680101290774e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.403896076848585,0.4073219554315851,0.0034258785830001415,-58.175752914310664,883.3831688760961,45
tt_t233_v1p80,tt,233.15,1.8,297.81347306212757,291.1403249557242,-6.673148106403346,0.037271270653611445,0.03615842207021109,-0.0011128485834003554,0.999994,0.4016796875,0.4005956288985146,0.4024108600108078,0.001815231112293203,297.81347306212757,291.1403249557242,-6.673148106403346,276.8222920113974,286.80131430729887,9.979022295901473,1663.753479672267,1763.8415779297889,100.08809825752178,0.037271270653611445,0.03615842207021109,-0.0011128485834003554,4.858937086433253e-13,1.0,1.3957639789274375e-13,-3.4631731075058156e-13,0.0,9.95594e-96,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2315.43469999815,3115.1406000026327,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,0.0269705,0.0269705,-1673.37,1800.0,0.929666,0.929666,297.81347306212757,297.81347306212757,276.8222920113974,1663.753479672267,0.037271270653611445,0.037271270653611445,4.858937086433253e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4005956288985146,0.4024108600108078,0.001815231112293203,-58.175752914310664,883.3831688760961,45
tt_t233_v1p98,tt,233.15,1.98,289.89642079961595,309.1224465699574,19.226025770341437,0.03395183180872935,0.03396591837485639,1.408656612703757e-05,0.999987,0.3977734375,0.4027495246078597,0.397525603712397,-0.005223920895462697,289.89642079961595,309.1224465699574,19.226025770341437,303.86440036806965,305.0465363649746,1.1821359969049468,1933.0673238250508,1946.0340816251435,12.966757800092637,0.03395183180872935,0.03396591837485639,1.408656612703757e-05,1.6539084690255307e-14,1.0,1.4267145112623038e-14,-2.271939577632269e-15,0.0,1.56729e-10,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2536.451299998589,21.59129999927245,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,7.26457,7.26457,-76.1484,230.612,0.483892,0.483892,289.89642079961595,289.89642079961595,303.86440036806965,1933.0673238250508,0.03395183180872935,0.03395183180872935,1.6539084690255307e-14,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4027495246078597,0.397525603712397,-0.005223920895462697,-58.175752914310664,883.3831688760961,45
tt_t298_v1p62,tt,298.15,1.62,273.773962328667,262.2956647649848,-11.47829756368219,0.053105486263386216,0.053084288376146066,-2.1197887240149982e-05,0.999992,0.40814453125,0.40714730081236694,0.41028741101532873,0.0031401102029617878,273.773962328667,262.2956647649848,-11.47829756368219,255.84934439023363,255.92555015984726,0.07620576961363668,1568.3647399989738,1566.9157116238541,-1.449028375119724,0.053105486263386216,0.053084288376146066,-2.1197887240149982e-05,6.68491213687323e-12,1.0,6.62153585920206e-12,-6.337627767117052e-14,0.0,5.88448e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2450.735700000223,16.674599999532802,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,2.41076,2.41076,-1497.05,1620.0,0.925595,0.925595,273.773962328667,273.773962328667,255.84934439023363,1568.3647399989738,0.053105486263386216,0.053105486263386216,6.68491213687323e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40714730081236694,0.41028741101532873,0.0031401102029617878,-58.175752914310664,883.3831688760961,45
tt_t298_v1p80,tt,298.15,1.8,270.3182563176804,280.2988889422053,9.980632624524901,0.0478930430951803,0.04947998807636279,0.0015869449811824893,0.999993,0.40287109375,0.4080918906156391,0.4053656395141288,-0.002726251101510313,270.3182563176804,280.2988889422053,9.980632624524901,283.47734189271796,274.36129037304175,-9.116051519676205,1843.517863212021,1750.5200119236372,-92.9978512883838,0.0478930430951803,0.04947998807636279,0.0015869449811824893,2.1147539548624914e-13,1.0,6.609082981825608e-13,4.494329026963116e-13,0.0,5.26188e-10,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2869.189400000323,15.537300001597032,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,1.41371,1.41371,-77.2611,220.923,0.482341,0.482341,270.3182563176804,270.3182563176804,283.47734189271796,1843.517863212021,0.0478930430951803,0.0478930430951803,2.1147539548624914e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4080918906156391,0.4053656395141288,-0.002726251101510313,-58.175752914310664,883.3831688760961,45
tt_t298_v1p98,tt,298.15,1.98,296.803233597731,298.30089853688827,1.4976649391572892,0.047822474366071475,0.04625672727212911,-0.001565747093942367,0.999985,0.40390625,0.40087026058705383,0.40046314552324025,-0.000407115063813579,296.803233597731,298.30089853688827,1.4976649391572892,283.7102455141702,292.75009126423276,9.039845750062568,1839.296393064368,1933.743272727871,94.44687966350307,0.047822474366071475,0.04625672727212911,-0.001565747093942367,2.0540747836906706e-13,0.999999,6.635472602026041e-14,-1.3905275234880666e-13,0.0,3.59636e-11,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2822.326899997279,19.456399997579865,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,9.05523,9.05523,-65.2923,242.388,0.47634,0.47634,296.803233597731,296.803233597731,283.7102455141702,1839.296393064368,0.047822474366071475,0.047822474366071475,2.0540747836906706e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40087026058705383,0.40046314552324025,-0.000407115063813579,-58.175752914310664,883.3831688760961,45
tt_t398_v1p62,tt,398.15,1.62,257.24364330414465,245.62640618687263,-11.617237117272026,0.08414953134274339,0.084152853097603,3.321754859605952e-06,0.999992,0.41810546875,0.4116718261858701,0.4148605949328822,0.003188768747012072,257.24364330414465,245.62640618687263,-11.617237117272026,235.67592860011388,235.52806381516027,-0.14786478495361166,1538.6352855208916,1535.847146902397,-2.788138618494486,0.08414953134274339,0.084152853097603,3.321754859605952e-06,8.322352338271793e-11,1.0,8.477605553475847e-11,1.5525321520405383e-12,0.0,5.88521e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2881.470000000263,18.188699999882374,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,2.53044,2.53044,-1461.34,1620.0,0.903625,0.903625,257.24364330414465,257.24364330414465,235.67592860011388,1538.6352855208916,0.08414953134274339,0.08414953134274339,8.322352338271793e-11,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4116718261858701,0.4148605949328822,0.003188768747012072,-58.175752914310664,883.3831688760961,45
tt_t398_v1p80,tt,398.15,1.8,271.01390418664806,263.60877998402475,-7.405124202623313,0.0694995801139558,0.07295496011223461,0.0034553799982788153,0.999976,0.41248046875,0.40790168596141435,0.40992780718089145,0.002026121219477095,271.01390418664806,263.60877998402475,-7.405124202623313,264.42189253167436,254.8541847705566,-9.56770776111776,1823.1126911585282,1727.0450398877654,-96.06765127076278,0.0694995801139558,0.07295496011223461,0.0034553799982788153,2.289388037835493e-12,0.999995,7.570415999220905e-12,5.2810279613854115e-12,0.0,8.52304e-11,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2879.9075999995694,17.00889999847277,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,13.7667,13.7667,-47.082,235.485,0.468392,0.468392,271.01390418664806,271.01390418664806,264.42189253167436,1823.1126911585282,0.0694995801139558,0.0694995801139558,2.289388037835493e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40790168596141435,0.40992780718089145,0.002026121219477095,-58.175752914310664,883.3831688760961,45
tt_t398_v1p98,tt,398.15,1.98,262.60420240733083,281.6265637272262,19.022361319895367,0.06951365000207005,0.06605494824893163,-0.003458701753138421,0.999988,0.4079296875,0.4102029076481374,0.4050034151371692,-0.005199492510968184,262.60420240733083,281.6265637272262,19.022361319895367,263.9843973912832,273.6999699373544,9.7155725460712,1815.0892618618113,1913.9450517510684,98.85578988925704,0.06951365000207005,0.06605494824893163,-0.003458701753138421,2.41807420913105e-12,1.0,7.17864011970755e-13,-1.7002101971602952e-12,0.0,6.46769e-13,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2909.164699998655,17.885899997054366,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,6.90455,6.90455,-68.6061,274.534,0.46881,0.46881,262.60420240733083,262.60420240733083,263.9843973912832,1815.0892618618113,0.06951365000207005,0.06951365000207005,2.41807420913105e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4102029076481374,0.4050034151371692,-0.005199492510968184,-58.175752914310664,883.3831688760961,45
ff_t233_v1p62,ff,233.15,1.62,282.83340670868824,273.1348139718743,-9.698592736813964,0.03620965043182614,0.03841258919728267,0.002202938765456533,0.999949,0.4003125,0.40467424655245404,0.4073219554315851,0.002647708879131072,282.83340670868824,273.1348139718743,-9.698592736813964,287.9830364009106,268.52530326820033,-19.457733132710246,1776.968025667101,1581.5874108027174,-195.3806148643837,0.03620965043182614,0.03841258919728267,0.002202938765456533,1.2040930871524414e-13,1.0,1.3707502359062531e-12,1.250340927191009e-12,0.0,5.88448e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2852.6849999980186,16.182200000912417,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,21.2237,21.2237,-1473.5,1620.0,0.922671,0.922671,282.83340670868824,282.83340670868824,287.9830364009106,1776.968025667101,0.03620965043182614,0.03620965043182614,1.2040930871524414e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40467424655245404,0.4073219554315851,0.002647708879131072,-58.175752914310664,883.3831688760961,45
